
,,,,,,,,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent
Rk,Season,Tm,Lg,G,W,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MOV,SOS,SRS,Pace,ORtg,DRtg,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,ORB%,FT/FGA
171,1996-97,CHH*,NBA,82,54,28,.659,19805,2988,6342,2397,4960,591,1382,1541,1984,910,2298,3208,2021,597,349,1203,1702,8108,1.87,0.26,2.13,88.6,110.9,108.9,.518,14.3,28.7,0.243,.496,13.3,31.9,0.204
172,1996-97,DET*,NBA,82,54,28,.659,19830,2827,6095,2245,4596,582,1499,1487,1995,858,2292,3150,1554,632,283,1041,1652,7723,5.24,0.20,5.45,84.5,110.6,104.4,.512,13.0,27.5,0.244,.487,14.6,29.6,0.197
173,2003-04,DET*,NBA,82,54,28,.659,19780,2747,6314,2414,5346,333,968,1561,2074,1014,2492,3506,1702,659,570,1241,1664,7388,5.84,-0.81,5.04,87.9,102.0,95.4,.461,14.7,30.1,0.247,.441,15.5,28.2,0.202
174,2004-05,DET*,NBA,82,54,28,.659,19955,2851,6421,2488,5368,363,1053,1588,2150,1054,2507,3561,1787,576,497,1133,1638,7653,3.87,-0.56,3.31,87.2,105.6,101.2,.472,13.3,31.2,0.247,.461,13.5,27.0,0.207
175,2005-06,PHO*,NBA,82,54,28,.659,19955,3430,7167,2593,5070,837,2097,1189,1475,778,2650,3428,2179,549,412,1088,1683,8886,5.55,-0.07,5.48,95.8,111.5,105.8,.537,12.2,22.1,0.166,.490,13.2,27.9,0.200
176,2007-08,UTA*,NBA,82,54,28,.659,19705,3279,6592,2872,5497,407,1095,1745,2298,942,2410,3352,2165,717,355,1200,1970,8710,6.88,-0.01,6.87,93.2,113.8,106.5,.528,13.6,29.5,0.265,.501,15.0,25.9,0.294
177,2008-09,DEN*,NBA,82,54,28,.659,19730,3058,6510,2510,5033,548,1477,1891,2487,905,2507,3412,1820,710,492,1257,1874,8555,3.41,-0.29,3.13,94.3,110.4,106.8,.512,14.2,27.5,0.290,.485,14.1,28.3,0.259
178,2008-09,POR*,NBA,82,54,28,.659,19830,3018,6494,2422,4939,596,1555,1521,1988,1060,2360,3420,1667,550,402,1055,1671,8153,5.34,-0.34,5.00,86.6,113.9,107.8,.511,12.5,32.6,0.234,.499,13.2,25.0,0.227
179,2008-09,SAS*,NBA,82,54,28,.659,19905,3042,6534,2417,4914,625,1620,1249,1641,728,2638,3366,1736,474,329,963,1546,7958,3.76,-0.40,3.36,88.4,108.5,104.3,.513,11.7,22.1,0.191,.487,11.7,22.0,0.191
180,2009-10,PHO*,NBA,82,54,28,.659,19730,3339,6788,2609,5018,730,1770,1631,2117,910,2616,3526,1912,479,418,1210,1713,9039,4.90,-0.23,4.68,95.3,115.3,110.2,.546,13.6,27.6,0.240,.491,11.6,29.2,0.224
Rk,Season,Tm,Lg,G,W,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MOV,SOS,SRS,Pace,ORtg,DRtg,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,ORB%,FT/FGA
181,2012-13,NYK*,NBA,82,54,28,.659,19730,2996,6689,2105,4318,891,2371,1313,1729,890,2436,3326,1579,672,294,988,1650,8196,4.23,-0.50,3.73,89.8,111.1,106.3,.515,11.7,25.6,0.196,.508,14.8,25.3,0.216
182,2013-14,HOU*,NBA,82,54,28,.659,19830,3118,6603,2339,4424,779,2179,1814,2549,920,2797,3717,1755,621,461,1323,1676,8829,4.56,0.50,5.06,96.3,111.0,106.3,.531,14.6,27.4,0.275,.489,12.5,25.9,0.193
183,2013-14,MIA*,NBA,82,54,28,.659,19880,3142,6272,2477,4443,665,1829,1431,1884,627,2397,3024,1847,732,367,1212,1596,8380,4.76,-0.61,4.15,91.2,110.9,105.8,.554,14.6,20.6,0.228,.511,15.8,27.0,0.212
184,2013-14,POR*,NBA,82,54,28,.659,19855,3207,7134,2437,5063,770,2071,1569,1926,1022,2786,3808,1904,454,387,1125,1576,8753,3.99,0.45,4.44,94.9,111.5,107.4,.504,12.4,28.0,0.220,.488,11.0,25.3,0.194
185,1976-77,LAL*,NBA,82,53,29,.646,19805,3663,7657,,,,,1437,1941,1177,2628,3805,2057,801,445,1538,1867,8763,2.72,-0.07,2.65,104.7,101.4,98.9,.478,15.3,31.0,0.188,.452,15.6,33.9,0.194
186,1982-83,PHO*,NBA,82,53,29,.646,19730,3555,7158,3515,7000,40,158,1626,2189,1094,2518,3612,2300,749,495,1545,2062,8776,5.06,-0.45,4.61,101.6,105.1,100.1,.499,16.0,32.0,0.227,.458,15.9,32.5,0.235
